#
# Element.data
#

# See Element.LINE for format of line

# ABBREVIATION
#   ADF    APPLICATION DEDICATED FILE
#   AFI    APPLICATION FAMILY IDENTIFICATION
#   AFL    APPLICATION FILE LOCATOR
#   AID    APPLICATION IDENTIFIER
#   APPL   APPLICATION
#   ATTR   ATTRIBUTE
#   AUTH   AUTHENTICATION
#   BIC    BANK IDENTIFIER CODE
#   BIO    BIOMETRIC
#   CERT   CERTIFICATE
#   CONFIG CONFIGURATION
#   CRYPT  CRYPTOGRAPHIC
#   DDF    DIRECTORY DEFINITION FILE
#   DF     DEDICATED FILE
#   DISC   DISCRETIONARY
#   ENV    ENVIRONMENT
#   IBAN   INTERNATIONAL BANK ACCOUNT NUMBER
#   IC     INTEGRATED CIRCUIT
#   ID     IDENTIFIER
#   IIN    ISSUER IDENTIFICATION NUMBER
#   INFO   INFORMATION
#   LANG   LANGUAGE
#   PAN    PRIMARY ACCOUNT NUMBER
#   PREF   PREFERENCES
#   PROP   PROPRIEATRY
#   REF    REFERENCE
#   REQ    REQUIREMENTS
#   SEQ    SEQUENCE
#   SFI    SHORT EF IDENTIFIER
#   TAA    TAG ALLOCATION AUTHORITY
#   TEMP   TEMPLATE
#   URL    UNIFORM RESOURCE LOCATOR


# From EMV Book 1  Version 4.3  Annex B1 Data Elements by Name  Page 155
# NAME                                     TAG  FORMAT                  TEMPLATE  COMMENT
EMV::ADF-NAME                               4F  HEX                           61  # Identifies the application as described in IOS/IEC 7816/4
EMV::AID-TERMINAL                         9F06  HEX                            -  # Identifies the application as described in IOS/IEC 7816/4


# From EMV Book 1  Version 4.3  Annex B1 Data Elements by Name  Page 156
# NAME                                     TAG  FORMAT                  TEMPLATE  COMMENT
EMV::APPL-LABEL                             50  ASCII                     61, A5  # Mnemonic associated with the AID according to IOS/IEC 7816/4
EMV::APPL-PREFERRED-NAME                  9F12  ASCII                     61, A5  # Preferred mnemonic associated with the AID
EMV::APPL-PRIORITY-INDICATOR                87  HEX                       61, A5  # Indicates the priority of a given application or group of applications in a directory
EMV::APPL-TEMP                              61  TEMP                          70  # Contains one or more data objects relevant to an application directory entry according to ISO/IEC 7815-4


# From EMV Book 1  Version 4.3  Annex B1 Data Elements by Name  Page 157
# NAME                                     TAG  FORMAT                  TEMPLATE  COMMENT
EMV::BIC                                  5F54  HEX                     BF0C, 73  # Uniquely identifies a bank as defined in ISO 9362
EMV::DF-NAME                                84  HEX                           6F  # Identifies the name of the DF as described in ISO/IEC 7816-4
EMV::DDF-NAME                               9D  HEX                           61  # Identifies the name of a DF associated with a directory
EMV::DIRECTORY-DISC-TEMP                    73  TEMP                          61  # Issuer discretionary part of the directory according to ISO/IEC 7816-4
