#
# Element.data
#

# See Element.LINE for format of line

# ABBREVIATION
#   AFI    APPLICATION-FAMILY-IDENTIFICATION
#   APPL   APPLICATION
#   ATTR   ATTRIBUTE
#   AUTH   AUTHENTICATION
#   BIC    BANK IDENTIFIER CODE
#   BIO    BIOMETRIC
#   CERT   CERTIFICATE
#   CONFIG CONFIGURATION
#   CRYPT  CRYPTOGRAPHIC
#   DISC   DISCRETIONARY
#   ENV    ENVIRONMENT
#   IBAN   INTERNATIONAL BANK ACCOUNT NUMBER
#   IC     INTEGRATED CIRCUIT
#   ID     IDENTIFIER
#   IIN    ISSUER IDENTIFICATION NUMBER
#   INFO   INFORMATION
#   LANG   LANGUAGE
#   PAN    PRIMARY ACCOUNT NUMBER
#   PREF   PREFERENCES
#   PROP   PROPRIEATRY
#   REF    REFERENCE
#   REQ    REQUIREMENTS
#   SEQ    SEQUENCE
#   SFI    SHORT EF IDENTIFIER
#   TAA    TAG ALLOCATION AUTHORITY
#   TEMP   TEMPLATE
#   URL    UNIFORM RESOURCE LOCATOR


#
# ISO 7816-6:2004/Cor.1:2006  PAGE 2
#
# NAME                                     TAG  FORMAT                  TEMPLATE  COMMENT
ISO::AFI                                    49  HEX                            -  # 00..0F; Designation of several application areas to enable global interoperability (see ISO/IEC 14443)
ISO::IBAN                                 5F53  HEX                           6E  # an..34; A number that used internationally to uniquely identify the account of a customer at a financial institution (see ISO 13616)
ISO::BIC                                  5F54  HEX                           6E  # an8 or 11; A universal Bank Identifier Code for use in automated processing in banking and related financial environments (see ISO 9362)
ISO::COUNTRY-CODE-2                       5F55  HEX                           66  # a2; Indication of a country (see ISO 3166-1)
ISO::COUNTRY-CODE-3                       5F56  HEX                           66  # a2; Indication of a country (see ISO 3166-1)
ISO::ACCOUNT-TYPE                         5F57  HEX                           6E  # n2; Indicates the type of account selected by the cardholder for the transaction (see EMV for coding)


#
# ISO 7816-6:2004  PAGE 3  --  6.5 Login template
#
ISO::QUALIFIER                              80  HEX                           6A  # Qualifier
ISO::NUMBER                                 81  HEX                           6A  # Number
ISO::TEXT                                   82  ASCII                         6A  # Text
ISO::DISPLAY-INDICATORS-83                  83  HEX                           6A  # 1 byte; Display indicators
ISO::DISPLAY-INDICATORS-84                  84  HEX                           6A  # 1 byte; Display indicators


#
# ISO 7816-6:2004  PAGE 7  --  9 Interindustry data elements in alphabetic order
#
ISO::ADDRESS                              5F42  HEX                           65  # Address of individual
ISO::ANSWER-TO-RESET                      5F51  HEX                            -  # Up to 32 bytes; Answer To Reset Indicate operating characteristic of the card
ISO::APPL-EFFECTIVE-DATE                  5F25  HEX                           6E  # YYMMDD; Date from which the application can be used, under the responsibility of the application provider
ISO::APPL-EXPIRATION-DATE                 5F24  HEX                           6E  # YYMMDD; Date from which the application expires, under the responsibility of the application provider
ISO::APPL-ID                                4F  AID                    61, 6E, -  # Application identifier; Data element identify an application in the card
ISO::APPL-IMAGE                           5F44  HEX                           6D  # Icon or logo associated with an application
ISO::APPL-IMAGE-TEMP                        6D  TEMP                          6E  # Template nesting at least application image
ISO::APPL-LABEL                             50  ASCII                     61, 6E  # Data element for use at the man-machine interface
ISO::APPL-RELATED-DATA                      6E  TEMP                           -  # Template nesting parameters of an application
ISO::APPL-TEMP                              61  TEMP                           -  # Template identifying an application in the card
ISO::AUTH-DATA                              67  TEMP                          66  # Template nesting authentication data and parameters
ISO::BIO-INFO-TEMP                        7F60  TEMP                           -  # Template nesting biometric information data objects
ISO::BIO-INFO-GROUP-TEMP                  7F61  TEMP                           -  # Template used for nesting biometric information template
ISO::BIO-DATA-TEMP                        7F2E  TEMP                        7F60  # Template nesting biometric reference data objects
ISO::CARD-CAPABILITIES                      47  HEX                        66, -  # Data element fixing card behaviors
ISO::CARD-DATA                              66  TEMP                           -  # Template nesting data related to he card
ISO::CARD-EFFECTIVE-DATE                  5F26  HEX                           66  # YYMMDD; Date from which the card can be used, under the responsibility of the card issuer
ISO::CARD-EXPIRATION-DATE                   59  HEX                           66  # YYMM; Date after which the card expires
ISO::CARD-ISSUERS-DATA                      45  HEX                        66, -  # Proprietary
ISO::CARD-SEQ-NUMBER                      5F34  HEX                           66  # n 2; Number distinguishing between separate cards with the same primary account number
ISO::CARD-SERVICE-DATA                      43  HEX                            -  # one byte; Indication of methods available in the card for supporting services
ISO::CARDHOLDER-BIO-DATA                  5F2E  HEX                           65  # Biometric data related to the cardholder
ISO::CARDHOLDER-CERT                      7F21  TEMP                          65  # Template nesting the cardholder public key, further information, signature of certification authority


#
# ISO 7816-6:2004  PAGE 8  --  9 Interindustry data elements in alphabetic order
#
ISO::CARDHOLDER-SIGNATURE-IMAGE           5F43  HEX                           6C  # Image of the cardholder's handwritten signature (see ISO/IEC 11544)
ISO::CARDHOLDER-IMAGE-TEMP                  6C  TEMP                          65  # Cardholder related images store within the card
ISO::CARDHOLDER-NAME                      5F20  ASCII                         65  # n 2..26; Name of the cardholder
ISO::CARDHOLDER-NATIONALITY               5F2C  HEX                           65  # n 3; Nationality of the cardholder (coding defined in ISO/IEC 7813)
ISO::CARDHOLDER-PORTRATE-IMAGE            5F40  HEX                           6C  # Encoded image data, used for the cardholder portrait image(format defined in ISO/IEC 10918-1)
ISO::CARDHOLDER-PRIVATE-KEY               5F48  HEX                           65  # Data element containing the cardholder's private key for digital signature functionality using asymmetric mechanisms
ISO::CARDHOLDER-PRIVATE-KEY-TEMP          7F48  TEMP                          65  # Template nesting private key related data objects
ISO::CARDHOLDER-PUBLIC-KEY                5F49  HEX                           65  # Data element containing the cardholder's public key data elements for digital signature functionality using asymmetric mechanisms
ISO::CARDHOLDER-PUBLIC-KEY-TEMP           7F49  TEMP                          65  # Template containing the cardholder's public key data objects for digital signature functionality using asymmetric mechanisms
